,service_name,first_person_in_charge,index_date,monitor_rule_description,index_type,index_name,aviator_expression,aviator_values,cat_view_url,duration_days
30,game-room-service,sunshenghao,2021-06-16,dubbo接口响应时间监控,PigeonService,MatchSpiService.createResource,avg>100 || line99Value>150 || line999Value>200,"[""avg=118.4816"",""line99Value=199.9178"",""line999Value=318.8289""]",https://cat.yupaopao.com/cat/r/t?domain=game-room-service&date=20210616&ip=All&type=PigeonService&reportType=day&op=history,2
31,game-room-service,sunshenghao,2021-06-16,dubbo接口响应时间监控,PigeonService,TeamManageService.creatTeam,avg>100 || line99Value>150 || line999Value>200,"[""avg=104.438"",""line99Value=167.7221"",""line999Value=167.7221""]",https://cat.yupaopao.com/cat/r/t?domain=game-room-service&date=20210616&ip=All&type=PigeonService&reportType=day&op=history,2
32,game-room-service,sunshenghao,2021-06-16,dubbo接口响应时间监控,PigeonService,RoomBizTemplate.createRoom,avg>100 || line99Value>150 || line999Value>200,"[""avg=135.7185"",""line99Value=262.3212"",""line999Value=306.538""]",https://cat.yupaopao.com/cat/r/t?domain=game-room-service&date=20210616&ip=All&type=PigeonService&reportType=day&op=history,2
33,game-room-service,sunshenghao,2021-06-16,dubbo接口响应时间监控,PigeonService,RoomBatchService.createAndJoin,avg>100 || line99Value>150 || line999Value>200,"[""avg=132.2353"",""line99Value=237.9519"",""line999Value=241.0438""]",https://cat.yupaopao.com/cat/r/t?domain=game-room-service&date=20210616&ip=All&type=PigeonService&reportType=day&op=history,2
34,game-room-service,sunshenghao,2021-06-16,游戏指令响应时间监控,processMsg,"app:7,serv:3,type:1,msg:305",avg>100 || line99Value>150 || line999Value>200,"[""avg=131.4"",""line99Value=147.0"",""line999Value=147.0""]",https://cat.yupaopao.com/cat/r/t?domain=game-room-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
35,game-room-service,sunshenghao,2021-06-16,游戏指令响应时间监控,processMsg,"app:8,serv:3,type:1,msg:300",avg>100 || line99Value>150 || line999Value>200,"[""avg=104.3697"",""line99Value=195.9103"",""line999Value=195.9103""]",https://cat.yupaopao.com/cat/r/t?domain=game-room-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
36,game-room-service,sunshenghao,2021-06-16,游戏指令响应时间监控,processMsg,"app:3,serv:3,type:1,msg:200",avg>100 || line99Value>150 || line999Value>200,"[""avg=146.7185"",""line99Value=222.2498"",""line999Value=263.0312""]",https://cat.yupaopao.com/cat/r/t?domain=game-room-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
37,game-room-service,sunshenghao,2021-06-16,游戏指令响应时间监控,processMsg,"app:7,serv:3,type:1,msg:300",avg>100 || line99Value>150 || line999Value>200,"[""avg=103.7978"",""line99Value=179.5221"",""line999Value=179.5221""]",https://cat.yupaopao.com/cat/r/t?domain=game-room-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
38,game-room-service,sunshenghao,2021-06-16,游戏指令响应时间监控,processMsg,"app:8,serv:3,type:1,msg:305",avg>100 || line99Value>150 || line999Value>200,"[""avg=104.5"",""line99Value=114.0"",""line999Value=114.0""]",https://cat.yupaopao.com/cat/r/t?domain=game-room-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
39,game-room-service,sunshenghao,2021-06-16,游戏指令响应时间监控,processMsg,"app:6,serv:3,type:1,msg:200",avg>100 || line99Value>150 || line999Value>200,"[""avg=144.6573"",""line99Value=223.3316"",""line999Value=253.3631""]",https://cat.yupaopao.com/cat/r/t?domain=game-room-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
40,game-room-service,sunshenghao,2021-06-16,游戏指令响应时间监控,processMsg,"app:9,serv:3,type:1,msg:300",avg>100 || line99Value>150 || line999Value>200,"[""avg=107.211"",""line99Value=214.9807"",""line999Value=231.8886""]",https://cat.yupaopao.com/cat/r/t?domain=game-room-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
41,game-room-service,sunshenghao,2021-06-16,游戏指令响应时间监控,processMsg,"app:5,serv:3,type:1,msg:200",avg>100 || line99Value>150 || line999Value>200,"[""avg=145.942"",""line99Value=222.4942"",""line999Value=265.7516""]",https://cat.yupaopao.com/cat/r/t?domain=game-room-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
42,game-room-service,sunshenghao,2021-06-16,游戏指令响应时间监控,processMsg,"app:1,serv:3,type:1,msg:111",avg>100 || line99Value>150 || line999Value>200,"[""avg=117.786"",""line99Value=176.9753"",""line999Value=176.9753""]",https://cat.yupaopao.com/cat/r/t?domain=game-room-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
43,game-room-service,sunshenghao,2021-06-16,游戏指令响应时间监控,processMsg,"app:9,serv:3,type:1,msg:200",avg>100 || line99Value>150 || line999Value>200,"[""avg=141.6337"",""line99Value=201.1919"",""line999Value=201.1919""]",https://cat.yupaopao.com/cat/r/t?domain=game-room-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
44,game-room-service,sunshenghao,2021-06-16,异常数,error,java.lang.RuntimeException,count>0,"[""count=1""]",https://cat.yupaopao.com/cat/r/p?domain=game-room-service&ip=All&date=20210616&reportType=day&op=history,1
45,remote-timer,sheyang,2021-06-16,异常数,error,redis.clients.jedis.exceptions.JedisConnectionException,count>0,"[""count=3""]",https://cat.yupaopao.com/cat/r/p?domain=remote-timer&ip=All&date=20210616&reportType=day&op=history,14
46,game-info-service,sujin,2021-06-16,dubbo接口响应时间监控,PigeonService,GameSettleService.settleGameBattle,avg>100 || line99Value>150 || line999Value>200,"[""avg=82.1794"",""line99Value=167.5313"",""line999Value=167.5313""]",https://cat.yupaopao.com/cat/r/t?domain=game-info-service&date=20210616&ip=All&type=PigeonService&reportType=day&op=history,2
47,game-info-service,sujin,2021-06-16,游戏指令响应时间监控,processMsg,"app:1,serv:1,type:1,msg:104",avg>100 || line99Value>150 || line999Value>200,"[""avg=74.4502"",""line99Value=153.2474"",""line999Value=153.2474""]",https://cat.yupaopao.com/cat/r/t?domain=game-info-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
48,game-invite-service,sujin,2021-06-16,游戏指令响应时间监控,processMsg,"app:6,serv:5,type:1,msg:102",avg>100 || line99Value>150 || line999Value>200,"[""avg=121.3193"",""line99Value=265.8747"",""line999Value=265.8747""]",https://cat.yupaopao.com/cat/r/t?domain=game-invite-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
49,game-invite-service,sujin,2021-06-16,游戏指令响应时间监控,processMsg,"app:6,serv:5,type:1,msg:101",avg>100 || line99Value>150 || line999Value>200,"[""avg=87.9005"",""line99Value=184.7184"",""line999Value=207.2881""]",https://cat.yupaopao.com/cat/r/t?domain=game-invite-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
50,game-invite-service,sujin,2021-06-16,游戏指令响应时间监控,processMsg,"app:5,serv:5,type:1,msg:102",avg>100 || line99Value>150 || line999Value>200,"[""avg=120.7546"",""line99Value=286.781"",""line999Value=286.781""]",https://cat.yupaopao.com/cat/r/t?domain=game-invite-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
51,game-invite-service,sujin,2021-06-16,游戏指令响应时间监控,processMsg,"app:5,serv:5,type:1,msg:101",avg>100 || line99Value>150 || line999Value>200,"[""avg=93.363"",""line99Value=213.5012"",""line999Value=248.821""]",https://cat.yupaopao.com/cat/r/t?domain=game-invite-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
52,game-invite-service,sujin,2021-06-16,游戏指令响应时间监控,processMsg,"app:8,serv:5,type:1,msg:101",avg>100 || line99Value>150 || line999Value>200,"[""avg=58.7909"",""line99Value=188.475"",""line999Value=188.475""]",https://cat.yupaopao.com/cat/r/t?domain=game-invite-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
53,game-invite-service,sujin,2021-06-16,游戏指令响应时间监控,processMsg,"app:8,serv:5,type:1,msg:300",avg>100 || line99Value>150 || line999Value>200,"[""avg=50.4246"",""line99Value=227.1768"",""line999Value=430.2941""]",https://cat.yupaopao.com/cat/r/t?domain=game-invite-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
54,game-invite-service,sujin,2021-06-16,游戏指令响应时间监控,processMsg,"app:7,serv:5,type:1,msg:101",avg>100 || line99Value>150 || line999Value>200,"[""avg=70.9846"",""line99Value=183.7308"",""line999Value=183.7308""]",https://cat.yupaopao.com/cat/r/t?domain=game-invite-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
55,game-invite-service,sujin,2021-06-16,游戏指令响应时间监控,processMsg,"app:9,serv:5,type:1,msg:102",avg>100 || line99Value>150 || line999Value>200,"[""avg=109.2674"",""line99Value=241.5712"",""line999Value=241.5712""]",https://cat.yupaopao.com/cat/r/t?domain=game-invite-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
56,game-invite-service,sujin,2021-06-16,游戏指令响应时间监控,processMsg,"app:9,serv:5,type:1,msg:101",avg>100 || line99Value>150 || line999Value>200,"[""avg=102.6419"",""line99Value=204.3406"",""line999Value=204.3406""]",https://cat.yupaopao.com/cat/r/t?domain=game-invite-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
57,game-invite-service,sujin,2021-06-16,游戏指令响应时间监控,processMsg,"app:3,serv:5,type:1,msg:101",avg>100 || line99Value>150 || line999Value>200,"[""avg=124.6994"",""line99Value=271.0264"",""line999Value=309.1338""]",https://cat.yupaopao.com/cat/r/t?domain=game-invite-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
58,game-invite-service,sujin,2021-06-16,游戏指令响应时间监控,processMsg,"app:3,serv:5,type:1,msg:102",avg>100 || line99Value>150 || line999Value>200,"[""avg=119.901"",""line99Value=302.1841"",""line999Value=322.456""]",https://cat.yupaopao.com/cat/r/t?domain=game-invite-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
59,bxgame-undercover,lijiaheng,2021-06-16,游戏指令响应时间监控,processMsg,"app:7,serv:10,type:2,msg:224",avg>100 || line99Value>150 || line999Value>200,"[""avg=36.741"",""line99Value=54.9747"",""line999Value=300.7822""]",https://cat.yupaopao.com/cat/r/t?domain=bxgame-undercover&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
60,bxgame-undercover,lijiaheng,2021-06-16,游戏指令响应时间监控,processMsg,"app:7,serv:10,type:1,msg:200",avg>100 || line99Value>150 || line999Value>200,"[""avg=102.8859"",""line99Value=132.3394"",""line999Value=132.3394""]",https://cat.yupaopao.com/cat/r/t?domain=bxgame-undercover&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
61,bxgame-undercover,lijiaheng,2021-06-16,游戏指令响应时间监控,processMsg,"app:1,serv:10,type:1,msg:200",avg>100 || line99Value>150 || line999Value>200,"[""avg=101.3098"",""line99Value=115.5164"",""line999Value=115.5164""]",https://cat.yupaopao.com/cat/r/t?domain=bxgame-undercover&date=20210616&ip=All&type=processMsg&reportType=day&op=history,1
62,bxgame-undercover,lijiaheng,2021-06-16,游戏指令响应时间监控,processMsg,"app:7,serv:10,type:1,msg:199",avg>100 || line99Value>150 || line999Value>200,"[""avg=61.645"",""line99Value=336.3865"",""line999Value=344.6454""]",https://cat.yupaopao.com/cat/r/t?domain=bxgame-undercover&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
63,bxgame-undercover,lijiaheng,2021-06-16,异常数,error,com.yupaopao.platform.game.battle.entity.exception.InvalidCommandException,count>0,"[""count=122""]",https://cat.yupaopao.com/cat/r/p?domain=bxgame-undercover&ip=All&date=20210616&reportType=day&op=history,14
64,bxgame-undercover,lijiaheng,2021-06-16,异常数,error,com.yupaopao.platform.game.undercover.constant.ReqException,count>0,"[""count=37""]",https://cat.yupaopao.com/cat/r/p?domain=bxgame-undercover&ip=All&date=20210616&reportType=day&op=history,14
65,bxgame-drawguess,yuruyi,2021-06-16,游戏指令响应时间监控,processMsg,"app:2,serv:11,type:2,msg:214",avg>100 || line99Value>150 || line999Value>200,"[""avg=50.014"",""line99Value=294.8731"",""line999Value=305.5067""]",https://cat.yupaopao.com/cat/r/t?domain=bxgame-drawguess&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
66,bxgame-gobang,jinyunzhe,2021-06-16,游戏指令响应时间监控,processMsg,"app:3,serv:13,type:1,msg:200",avg>100 || line99Value>150 || line999Value>200,"[""avg=113.3823"",""line99Value=148.3682"",""line999Value=177.4955""]",https://cat.yupaopao.com/cat/r/t?domain=bxgame-gobang&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
67,bxgame-gobang,jinyunzhe,2021-06-16,游戏指令响应时间监控,processMsg,"app:6,serv:13,type:1,msg:200",avg>100 || line99Value>150 || line999Value>200,"[""avg=108.0548"",""line99Value=143.6417"",""line999Value=144.2564""]",https://cat.yupaopao.com/cat/r/t?domain=bxgame-gobang&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
